"October 2019 : US Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","277","","","","","","","","",""
"Retired","197","","","","","","","","",""
"Rename","133","","","","","","","","",""
"Move","50","","","","","","","","",""
"Move & Rename","24","","","","","","","","",""
"Total","681","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"","","","","Bing & Grondahl Coll Plates","","","","3951","",""
"","","","","Blue Sky Clayworks","","","","47132","",""
"","","","+","Boyds","","","","39579","",""
"","","","+","Bradford Exchange","","","","13784","",""
"","","","","Byers Choice","","","","4021","",""
"","","","","Cat's Meow Village","","","","4022","",""
"","","","+","Charming Tails","","","","41117","",""
"","","","","Christopher Radko","","","","13786","",""
"","","","+","Danbury Mint","","","","13787","",""
"","","","","David Winter","","","","1543","",""
"","","","+","Department 56","","","","1365","",""
"","","","","Dreamsicles","","","","10912","",""
"","","","","Duncan Royale","","","","4024","",""
"","","","+","Enesco","","","","11126","",""
"","","","","Faberge","","","","13794","",""
"","","","+","Fitz & Floyd","","","","13796","",""
"","","","","Flambro","","","","4026","",""
"","","","+","Franklin Mint","","","","13801","",""
"","","","","G. DeBrekht","","","","165489","",""
"","","","","Halcyon Days","","","","45133","",""
"","","","-","Hallmark","","","","576","",""
"","","","","","Betsey Clark","","","41147","",""
"","","","","","Kiddie Car Classics","","","973","",""
"","","","","","Marjolein Bastin","","","41148","",""
"","","","","","Maxine","","","41149","",""
"","","","","","Merry Miniatures","","","577","",""
"","","","","-","Ornaments: Miniature","","","39601","",""
"","","","","","","Pre-1990","","39602","",""
"","","","","","","1990-99","","578","",""
"","","","","","","2000-Now","","39603","",""
"","","","","","","Unspecified, Unknown Date","","39604","Renamed from [Unknown Date]",""
"","","","","+","Ornaments: by Series","","","41137","",""
"","","","","-","Ornaments: by Year","","","39605","",""
"","","","","","","Pre-1980","","39606","",""
"","","","","","","1980-84","","39607","",""
"","","","","","","1985-89","","39608","",""
"","","","","","","1990-94","","39609","",""
"","","","","","","1995-99","","39610","",""
"","","","","","","2000-2005","","63769","",""
"","","","","","","2005-Now","","103939","",""
"","","","","","","Unspecified, Unknown Date","","39611","Renamed from [Unknown Date]",""
"","","","","","Peanuts","","","41151","",""
"","","","","","Other Hallmark","","","147","",""
"","","","","Hamilton Collector Plates","","","","1357","",""
"","","","","Harbour Lights","","","","11132","",""
"","","","+","Harmony Kingdom","","","","41152","",""
"","","","+","HOMCO","","","","41155","",""
"","","","+","Hummel, Goebel","","","","13804","",""
"","","","","Josef","","","","105","",""
"","","","","Knowles Collector Plates","","","","1358","",""
"","","","","Lefton Figurines","","","","13809","",""
"","","","+","Lenox","","","","13812","",""
"","","","","Liberty Falls","","","","47133","",""
"","","","","Lilliput Lane","","","","1544","",""
"","","","+","Limoges","","","","13815","",""
"","","","+","Lladro","","","","13818","",""
"","","","-","Longaberger","","","","10915","",""
"","","","","-","Baskets","","","39612","",""
"","","","","","","Pre-1990","","39613","",""
"","","","","","","1990-94","","39614","",""
"","","","","","","1995-99","","39615","",""
"","","","","","","2000-2004","","63776","",""
"","","","","","","2005-Now","","103944","",""
"","","","","","","Unspecified, Unknown Date","","63780","Renamed from [Unknown]",""
"","","","","","","Mixed Lots","","39616","",""
"","","","","","Candles","","","103945","",""
"","","","","","Candle Holders, Votives","","","10917","",""
"","","","","","Coasters","","","10918","",""
"","","","","","Combos","","","10919","",""
"","","","","","Dinnerware, Serving, Pottery","","","10920","",""
"","","","","","Fabric","","","10921","",""
"","","","","","Garters","","","10922","",""
"","","","","","Handle Grippers","","","10923","",""
"","","","","","Handle Ties","","","10924","",""
"","","","","","Lids","","","39617","",""
"","","","","","Liners","","","10925","",""
"","","","","","Magnets","","","86908","",""
"","","","","","Metalworks","","","40124","",""
"","","","","","Napkins, Placemats","","","10926","",""
"","","","","","Ornaments","","","10927","",""
"","","","","","Pens, Pencils, Pads","","","10928","",""
"","","","","","Pins","","","86909","",""
"","","","","","Prints, Wall Hangings","","","86910","",""
"","","","","","Protectors","","","10929","",""
"","","","","","Tie-ons","","","10930","",""
"","","","","+","Totes, Wallets, Cases","","","86911","",""
"","","","","","Towels","","","10931","",""
"","","","","","Other Longaberger","","","101","",""
"","","","","Madame Alexander","","","","15909","",""
"","","","","Margaret Furlong","","","","13821","",""
"","","","+","Mary Engelbreit","","","","41162","",""
"","","","","Midwest of Cannon Falls","","","","39618","",""
"","","","","Napco","","","","165490","",""
"","","","+","Norman Rockwell","","","","11636","",""
"","","","","Occupied Japan","","","","165491","",""
"","","","","Old World","","","","48777","",""
"","","","","Patricia Breen","","","","73497","",""
"","","","+","PartyLite","","","","39619","",""
"","","","","Pendelfin","","","","13822","",""
"","","","","Polonaise","","","","48778","",""
"","","","+","Precious Moments","","","","39594","",""
"","","","","Rien Poortvliet","","","","60214","",""
"","","","+","Roman","","","","11136","",""
"","","","+","Royal Copenhagen","","","","156287","",""
"","","","+","Royal Doulton","","","","13823","",""
"","","","","San Francisco Music Box","","","","13826","",""
"","","","","Sarah's Attic","","","","13827","",""
"","","","","Schmid","","","","4028","",""
"","","","","Sebastian Miniatures","","","","11134","",""
"","","","","Shelia's","","","","14896","",""
"","","","","Slavic Treasures","","","","73498","",""
"","","","+","Swarovski","","","","2746","",""
"","","","+","Thomas Kinkade","","","","11641","",""
"","","","","Tom Clark","","","","4030","",""
"","","","","Wade Figurines","","","","106","",""
"","","","+","Wedgwood","","","","13828","",""
"","","","","Williraye","","","","165492","",""
"","","","+","Willitts","","","","11124","",""
"","","","","Willow Tree","","","","47134","",""
"","","","Baskets","","","","","13831","",""
"","","+","Bells","","","","","39623","",""
"","","","Bird Houses, Feeders","","","","","86919","",""
"","","","Book Ends","","","","","86920","",""
"","","","Bowls","","","","","73499","",""
"","","","Candles, Holders","","","","","50792","",""
